"title","year_release","box_office","director","number_of_subjects","type_of_subject","subject_race","subject_sex"
"Bound for Glory",1976,NA,"Hal Ashby",1,"Singer","White","Male"
"Boys Don't Cry",1999,11500000,"Kimberly Peirce",1,"Other",NA,"Male"
"Boys Town",1938,NA,"Norman Taurog",1,"Other","White","Male"
"Braveheart",1995,75600000,"Mel Gibson",1,"Military","White","Male"
"Breach",2007,3.3e+07,"Billy Ray",1,"Criminal","White","Male"
"Brigham Young",1940,NA,"Henry Hathaway",1,"Other","White","Male"
"Bright Star",2009,4440000,"Jane Campion",2,"Author (poet)","White","Male"
"Bright Star",2009,4440000,"Jane Campion",2,"Other",NA,"Female"
"Bronson",2008,105000,"Nicolas Winding Refn",1,"Criminal",NA,"Male"
"Brother Sun, Sister Moon",1972,NA,"Franco Zeffirelli",1,"Historical","White","Male"
"Bubble Boy",2001,5e+06,"Blair Hayes",1,"Medicine",NA,"Male"
"Buffalo Bill",1944,NA,"William A. Wellman",1,"Other","White","Male"
"Bugsy",1991,49100000,"Barry Levinson",1,"Criminal","White","Male"
"Burning Blue",2013,NA,"D.M.W. Greer With: Trent Ford, Tammy Blanchard, Morgan Spector",1,"Military",NA,"Male"
"Buster",1988,540000,"David Green",1,"Criminal",NA,"Male"
"Butch Cassidy and the Sundance Kid",1969,1.02e+08,"George Roy Hill",2,"Criminal","White","Male"
"Butch Cassidy and the Sundance Kid",1969,1.02e+08,"George Roy Hill",2,"Criminal","White","Male"
"Cadillac Records",2008,8130000,"Darnell Martin",3,"Singer","African","Female"
"Cadillac Records",2008,8130000,"Darnell Martin",3,"Musician","African","Male"
"Cadillac Records",2008,8130000,"Darnell Martin",3,"Musician","White","Male"
"Caesar and Cleopatra",1945,NA,"Gabriel Pascal",2,"Historical","White","Male"
"Caesar and Cleopatra",1945,NA,"Gabriel Pascal",2,"Historical","Middle Eastern","Female"
"Callas Forever",2002,446000,"Franco Zeffirelli",1,"Singer","Mediterranean","Female"
"Cannibal! The Musical",1993,NA,"Trey Parker",1,"Criminal",NA,"Male"
"Capone",1975,NA,"Steve Carver",1,"Criminal","White","Male"
"Capote",2005,28700000,"Bennett Miller",1,"Author",NA,"Male"
"Captain Kidd",1945,NA,"Rowland V. Lee",1,"Historical","White","Male"
"Captain Phillips",2013,1.07e+08,"Paul Greengrass",1,"Military",NA,"Male"
"Caravaggio",1986,3150,"Derek Jarman",1,"Artist","White","Male"
"Carbine Williams",1952,NA,"Richard Thorpe",1,"Other",NA,"Male"
"Carrington",1995,3240000,"Christopher Hampton",2,"Author","White","Male"
"Carrington",1995,3240000,"Christopher Hampton",2,"Artist","White","Female"
"Carve Her Name with Pride",1958,NA,"Lewis Gilbert",1,"Military","White","Female"
"Casino",1995,42400000,"Martin Scorsese",1,"Criminal",NA,"Male"
"Casino Jack",2010,1040000,"George Hickenlooper",1,"Other",NA,"Male"
"Cass",2008,NA,"Jon S. Baird",1,"Other","Caribbean","Male"
"Catch a Fire",2006,4290000,"Phillip Noyce",1,"Activist","African","Male"
"Catch Me If You Can",2002,1.64e+08,"Steven Spielberg",1,"Criminal",NA,"Male"
"Cesar Chavez",2014,5550000,"Diego Luna",1,"Activist","Hispanic","Male"
"Chaplin",1992,9490000,"Richard Attenborough",1,"Comedian","White","Male"
"Charlie Wilson's War",2007,66600000,"Mike Nichols",1,"Military",NA,"Male"
"Chasing Mavericks",2012,6e+06,"Michael Apted, Curtis Hanson",1,"Athlete",NA,"Male"
"Chattahoochee",1989,259000,"Mick Jackson",1,"Military",NA,"Male"
"Che: Part One",2008,1730000,"Steven Soderbergh",1,"Activist","Hispanic","Male"
"Che: Part Two",2008,NA,"Steven Soderbergh",1,"Activist","Hispanic","Male"
"Che!",1969,2e+06,"Richard Fleischer",1,"Activist","Hispanic","Male"
"Chisum",1970,6e+06,"Andrew V. McLaglen",1,"Other",NA,"Male"
"Christopher Columbus: The Discovery",1992,8250000,"John Glen",1,"Other","White","Male"
"Ciao Manhattan",1972,NA,"John Palmer, David Weisman",1,"Actress","White","Female"
"Cinderella Man",2005,61600000,"Ron Howard",1,"Athlete","White","Male"
"Cleopatra",1934,NA,"Cecil B. DeMille",1,"Historical","Middle Eastern","Female"
"Cleopatra",1963,57800000,"Joseph L. Mankiewicz",1,"Historical","Middle Eastern","Female"
"Coal Miner's Daughter",1980,79900000,"Michael Apted",1,"Singer","Multi racial","Female"
"Cobb",1994,1010000,"Ron Shelton",1,"Athlete","White","Male"
"Communion",1989,1920000,"Philippe Mora",1,"Other",NA,"Male"
"Compulsion",1959,NA,"Richard Fleischer",2,"Criminal","White","Male"
"Compulsion",1959,NA,"Richard Fleischer",2,"Criminal","White","Male"
"Confessions of a Dangerous Mind",2002,NA,"George Clooney",1,"Actor",NA,"Male"
"Control",2007,872000,"Anton Corbijn",1,"Musician",NA,"Male"
"Conviction",2010,6780000,"Tony Goldwyn",1,"Other",NA,"Female"
"Copying Beethoven",2006,353000,"Agnieszka Holland",1,"Musician","White","Male"
"Counterpunch",2013,NA,"Kenneth Castillo",1,"Athlete","Hispanic","Male"
"Creation",2009,341000,"Jon Amiel",1,"Academic",NA,"Male"
"Cromwell",1970,NA,"Ken Hughes",1,"Historical","White","Male"
"Cross Creek",1983,2e+05,"Martin Ritt",1,"Author",NA,"Female"
"Crutch",2004,NA,"Rob Moretti",1,"Actor",NA,"Male"
"Cry Freedom",1987,5900000,"Richard Attenborough",1,"Activist","African","Male"
"Custer of the West",1967,NA,"Robert Siodmak",1,"Military","White","Male"
"Dahmer",2002,NA,"David Jacobson",1,"Criminal","White","Male"
"Dallas Buyers Club",2013,27300000,"Jean-Marc Vall<cc><c4><e5><U+00A9>e",1,"Activist",NA,"Male"
"Dance with a Stranger",1985,138000,"Mike Newell",1,"Criminal",NA,"Female"
"Dangerous Beauty",1998,4530000,"Marshall Herskovitz",1,"Other","White","Female"
"Dangerous Minds",1995,84900000,"John N. Smith",1,"Teacher","White","Female"
"De-Lovely",2004,13300000,"Irwin Winkler",1,"Musician","White","Male"
"Death in Granada",1996,226000,"Marcos Zurinaga",1,"Author","Hispanic","Male"
"Desert Dancer",2014,144000,"Richard Raymond",1,"Artist","Middle Eastern","Male"
"Desert Flower",2009,44300,"Sherry Hormann",1,"Activist","African","Female"
"D<U+0329>sir<U+0329>e",1954,NA,"Henry Koster",2,"Historical","White","Female"
"D<U+0329>sir<U+0329>e",1954,NA,"Henry Koster",2,"Historical","White","Male"
"Devil's Knot",2013,NA,"Atom Egoyan",3,"Criminal",NA,"Male"
"Devil's Knot",2013,NA,"Atom Egoyan",3,"Criminal",NA,"Male"
"Devil's Knot",2013,NA,"Atom Egoyan",3,"Criminal",NA,"Male"
"Devotion",1946,NA,"Curtis Bernhardt",3,"Author","White","Female"
"Devotion",1946,NA,"Curtis Bernhardt",3,"Author","White","Female"
"Devotion",1946,NA,"Curtis Bernhardt",3,"Author","White","Female"
"Diana",2013,332000,"Oliver Hirschbiegel",1,"Other","White","Female"
"Digging Up the Marrow",2014,NA,"Adam Green",1,"Other",NA,"Male"
"Dillinger",1945,4e+06,"Max Nosseck",1,"Criminal","White","Male"
"Dillinger",1973,NA,"John Milius",1,"Criminal",NA,"Male"
"Disraeli",1929,NA,"Alfred E. Green",1,"World leader","White","Male"
"Domino",2005,10100000,"Tony Scott",1,"Other","White","Female"
"Donnie Brasco",1997,4.2e+07,"Mike Newell",1,"Government","White","Male"
"Downtown 81",1981,1e+05,"Edo Bertoglio",1,"Artist","Multi racial","Male"
"Dr. Ehrlich's Magic Bullet",1940,NA,"William Dieterle",1,"Medicine","White","Male"
"Dragon: The Bruce Lee Story",1993,35100000,"Rob Cohen",1,"Athlete","Asian","Male"
"Dreamchild",1985,NA,"Gavin Millar",1,"Other",NA,"Female"
"Ed Gein",2000,5710,"Chuck Parello",1,"Criminal",NA,"Male"
"Ed Wood",1994,5890000,"Tim Burton",1,"Other",NA,"Male"
"Edison, the Man",1940,NA,"Clarence Brown",1,"Academic","White","Male"
"Eichmann",2007,NA,"Robert Young",1,"Military","White","Male"
"El cantante",2006,7560000,"Leon Ichaso",1,"Musician","Hispanic","Male"
"El Cid",1961,26600000,"Anthony Mann",1,"Historical","Hispanic","Male"
"Elizabeth",1998,3e+07,"Shekhar Kapur",1,"Historical","White","Female"
"Elizabeth: The Golden Age",2007,16300000,"Shekhar Kapur",1,"Historical","White","Female"
"Erin Brockovich",2000,1.26e+08,"Steven Soderbergh",1,"Activist",NA,"Female"
"Escape from Alcatraz",1979,36500000,"Don Siegel",3,"Criminal",NA,"Male"
"Escape from Alcatraz",1979,36500000,"Don Siegel",3,"Criminal",NA,"Male"
"Escape from Alcatraz",1979,36500000,"Don Siegel",3,"Criminal",NA,"Male"
"Evel Knievel",1971,NA,"Marvin J. Chomsky",1,"Athlete","White","Male"
"Everyman's War",2009,NA,"Thad T. Smith",1,"Military",NA,"Male"
"Evita",1996,5e+07,"Alan Parker",1,"Actress / activist","Hispanic","Female"
"Exodus: Gods and Kings",2014,6.5e+07,"Ridley Scott",1,"Historical","Middle Eastern","Male"
"Factory Girl",2006,1650000,"George Hickenlooper",1,"Actress","White","Female"
"Fair Game",2010,9530000,"Doug Liman",1,"Government","White","Female"
"Fat Man and Little Boy",1989,3560000,"Roland Joff<cc><c4><e5><U+00A9>",2,"Military","White","Male"
"Fat Man and Little Boy",1989,3560000,"Roland Joff<cc><c4><e5><U+00A9>",2,"Academic","White","Male"
"Fear Strikes Out",1957,NA,"Robert Mulligan",1,"Athlete",NA,"Male"
"Fellini's Casanova",1976,NA,"Federico Fellini",1,"Historical","White","Male"
"Find Me Guilty",2006,1170000,"Sidney Lumet",1,"Criminal","White","Male"
"Finding Graceland",1998,NA,"David Winkler",1,"Musician","White","Male"
"Finding Neverland",2004,51700000,"Marc Forster",1,"Author","White","Male"
"Fire in the Sky",1993,20100000,"Robert Lieberman",1,"Other",NA,"Male"
"Flash of Genius",2008,4230000,"Marc Abraham",1,"Other",NA,"Male"
"Foxcatcher",2014,12100000,"Bennett Miller",1,"Athlete","White","Male"
"Frances",1982,5e+06,"Graeme Clifford",1,"Actress","White","Female"
"Francis of Assisi",1961,NA,"Michael Curtiz",1,"Historical","White","Male"
"Frank & Jesse",1995,NA,"Robert Boris",2,"Criminal","White","Male"
"Frank & Jesse",1995,NA,"Robert Boris",2,"Criminal","White","Male"
"Frankie & Alice",2010,693000,"Geoffrey Sax",1,"Other","African","Female"
"Freedom Writers",2007,36600000,"Richard LaGravenese",1,"Other","White","Female"
"Freud",1962,NA,"John Huston",1,"Academic","White","Male"
"Frida",2002,25800000,"Julie Taymor",1,"Artist","Hispanic","Female"
"Fruitvale Station",2013,16100000,"Ryan Coogler",1,"Other","African","Male"
"Funny Girl",1968,223000,"William Wyler",1,"Actress","White","Female"
"Fur: An Imaginary Portrait of Diane Arbus",2006,221000,"Steven Shainberg",1,"Other","White","Female"
"Gandhi",1982,NA,"Richard Attenborough",1,"Activist","Indian","Male"
"Gentleman Jim",1942,NA,"Raoul Walsh",1,"Athlete","White","Male"
"Geronimo",1962,NA,"Arnold Laven",1,"Military","Native American","Male"
"Get on Up",2014,30500000,"Tate Taylor",1,"Singer","African","Male"
"Get Rich or Die Tryin'",2005,3.1e+07,"Jim Sheridan",1,"Singer","African","Male"
"Girl with a Pearl Earring",2003,11600000,"Peter Webber",1,"Artist","White","Male"
"Girl, Interrupted",1999,28900000,"James Mangold",1,"Author",NA,"Female"
"Glory Road",2006,42600000,"James Gartner",1,"Athlete",NA,"Male"
"Gods and Monsters",1998,6390000,"Bill Condon",1,"Other","White","Male"
"Goltzius and the Pelican Company",2012,NA,"Peter Greenaway",1,"Artist","White","Male"
"Good Morning, Vietnam",1987,1.24e+08,"Barry Levinson",1,"Media",NA,"Male"
"Good Vibrations",2012,NA,"Lisa Barros D'Sa, Glenn Leyburn",1,"Musician",NA,"Male"
"Goodfellas",1990,46800000,"Martin Scorsese",1,"Criminal","White","Male"
"Gorillas in the Mist",1988,24700000,"Michael Apted",1,"Academic",NA,"Female"
"Goya's Ghosts",2006,1e+06,"Milos Forman",1,"Artist","Hispanic","Male"
"Grace of Monaco",2014,NA,"Olivier Dahan",1,"Actress","White","Male"
"Gracie",2007,2960000,"Davis Guggenheim",1,"Athlete","White","Female"
"Greased Lightning",1977,NA,"Michael Schultz",1,"Athlete","African","Male"
"Great Balls of Fire!",1989,13700000,"Jim McBride",1,"Musician",NA,"Male"
"Grey Owl",1999,315000,"Richard Attenborough",1,"Other","Multi racial","Male"
"Gypsy",1962,NA,"Mervyn LeRoy",2,"Artist","White","Female"
"Gypsy",1962,NA,"Mervyn LeRoy",2,"Other","White","Female"
"Hans Christian Andersen",1952,NA,"Charles Vidor",1,"Author","White","Male"
"Harlow",1965,NA,"Gordon Douglas",1,"Actress","White","Female"
"Heart Like a Wheel",1983,NA,"Jonathan Kaplan",1,"Athlete","White","Female"
"Heaven & Earth",1993,5860000,"Oliver Stone",1,"Other","Asian","Female"
"Hell to Eternity",1960,NA,"Phil Karlson",1,"Military","Hispanic","Male"
"Henry & June",1990,11600000,"Philip Kaufman",3,"Author","White","Male"
"Henry & June",1990,11600000,"Philip Kaufman",3,"Author","White","Female"
"Henry & June",1990,11600000,"Philip Kaufman",3,"Other","White","Female"
"Henry V",1944,NA,"Laurence Olivier",1,"Historical","White","Male"
"Henry V",1989,10200000,"Kenneth Branagh",1,"Historical","White","Male"
"High Roller: The Stu Ungar Story",2003,NA,"A.W. Vidmer",1,"Other","White","Male"
"Hilary and Jackie",1998,4870000,"Anand Tucker",2,"Musician","White","Female"
"Hilary and Jackie",1998,4870000,"Anand Tucker",2,"Musician","White","Female"
"His Majesty O'Keefe",1954,NA,"Byron Haskin",1,"Other","White","Male"
"Hitchcock",2012,6e+06,"Sacha Gervasi",2,"Other","White","Male"
"Hitchcock",2012,6e+06,"Sacha Gervasi",2,"Other","White","Female"
"Hitler: A Film from Germany",1977,NA,"Hans-J<cc>_rgen Syberberg",1,"Military","White","Male"
"Hitler: The Last Ten Days",1973,NA,"Ennio De Concini",1,"Military","White","Male"
"Hoffa",1992,24300000,"Danny DeVito",1,"Activist","White","Male"
"Hollywoodland",2006,14400000,"Allen Coulter",1,"Actor",NA,"Male"
"Houdini",1953,NA,"George Marshall",1,"Other","White","Male"
"Howl",2010,617000,"Rob Epstein, Jeffrey Friedman",1,"Author","White","Male"
"Hunger",2008,154000,"Steve McQueen",1,"Activist","White","Male"
"Hyde Park on Hudson",2012,6370000,"Roger Michell",2,"World leader","White","Male"
"Hyde Park on Hudson",2012,6370000,"Roger Michell",2,"Other",NA,"Female"
"I Am a Sex Addict",2005,113000,"Caveh Zahedi",1,"Actor","Middle Eastern","Male"
"I Love You Phillip Morris",2009,2040000,"Glenn Ficarra, John Requa",1,"Criminal",NA,"Male"
"I Shot Andy Warhol",1996,1810000,"Mary Harron",1,"Activist","Hispanic","Female"
"I Want to Live!",1958,NA,"Robert Wise",1,"Criminal",NA,"Female"
"I'll Cry Tomorrow",1955,NA,"Daniel Mann",1,"Actress","White","Female"
"I'll See You in My Dreams",1951,NA,"Michael Curtiz",1,"Musician","White","Male"
"I'm Not There.",2007,4e+06,"Todd Haynes",1,"Musician","White","Male"
"If You Could See What I Hear",1982,NA,"Eric Till",1,"Singer","White","Male"
"Immortal Beloved",1994,14400000,"Bernard Rose",1,"Musician","White","Male"
"Impromptu",1991,4080000,"James Lapine",2,"Musician","White","Male"
"Impromptu",1991,4080000,"James Lapine",2,"Other","White","Female"
"In Love and War",1996,14500000,"Richard Attenborough",2,"Media","White","Male"
"In Love and War",1996,14500000,"Richard Attenborough",2,"Other","White","Female"
"In the Name of the Father",1993,2.5e+07,"Jim Sheridan",1,"Other","White","Male"
"Infamous",2006,1150000,"Douglas McGrath",1,"Other",NA,"Male"
"Infinity",1996,146000,"Matthew Broderick",1,"Academic",NA,"Male"
"Interrupted Melody",1955,NA,"Curtis Bernhardt",1,"Singer","White","Female"
"Into the Wild",2007,18400000,"Sean Penn",1,"Athlete",NA,"Male"
"Invictus",2009,37500000,"Clint Eastwood",2,"World leader","African","Male"
"Invictus",2009,37500000,"Clint Eastwood",2,"Athlete","White","Male"
"Invincible",2006,57800000,"Ericson Core",1,"Athlete",NA,"Male"
"Iris",2001,1200000,"Richard Eyre",1,"Author","White","Female"
"Isadora",1968,NA,"Karel Reisz",1,"Artist",NA,"Female"
"Isn't She Great",2000,2950000,"Andrew Bergman",1,"Author","White","Female"
"iSteve",2013,NA,"Ryan Perez",1,"Other","Multi racial","Male"
"J. Edgar",2011,37300000,"Clint Eastwood",1,"Government","White","Male"
"Jamesy Boy",2014,NA,"Trevor White",1,"Criminal",NA,"Male"
"Jappeloup",2013,NA,"Christian Duguay",1,"Athlete","White","Male"
"Jean Charles",2009,NA,"Henrique Goldman",1,"Other","White","Male"
"Jefferson in Paris",1995,2470000,"James Ivory",1,"Historical","White","Male"
"Jersey Boys",2014,4.7e+07,"Clint Eastwood",4,"Musician","White","Male"
"Jersey Boys",2014,4.7e+07,"Clint Eastwood",4,"Musician","White","Male"
"Jersey Boys",2014,4.7e+07,"Clint Eastwood",4,"Musician","White","Male"
"Jersey Boys",2014,4.7e+07,"Clint Eastwood",4,"Musician","White","Male"
"Jesse James",1939,NA,"Henry King",1,"Criminal","White","Male"
"Jim Thorpe -- All-American",1951,NA,"Michael Curtiz",1,"Athlete","Native American","Male"
"Jimi: All Is by My Side",2013,323000,"John Ridley",1,"Musician","Multi racial","Male"
"Jinnah",1998,NA,"Jamil Dehlavi",1,"Other","Middle Eastern","Male"
"Jo Jo Dancer, Your Life Is Calling",1986,1.8e+07,"Richard Pryor",1,"Comedian","African","Male"
"Joan of Arc",1948,NA,"Victor Fleming",1,"Historical","White","Female"
"Jobs",2013,16100000,"Joshua Michael Stern",1,"Other","Multi racial","Male"
"John Paul Jones",1959,NA,"John Farrow",1,"Military","White","Male"
"Juarez",1939,NA,"William Dieterle",1,"World leader","Hispanic","Male"
"Julie & Julia",2009,94100000,"Nora Ephron",2,"Other",NA,"Female"
"Julie & Julia",2009,94100000,"Nora Ephron",2,"Other",NA,"Female"
"Kid Cannabis",2014,5570,"John Stockwell",1,"Criminal",NA,"Male"
"Kill the Irishman",2011,1190000,"Jonathan Hensleigh",1,"Criminal","White","Male"
"Kill the Messenger",2014,2450000,"Michael Cuesta",1,"Media",NA,"Male"
"Kill Your Darlings",2013,1030000,"John Krokidas",1,"Author","White","Male"
"Killer: A Journal of Murder",1995,65700,"Tim Metcalfe",1,"Criminal","White","Male"
"King David",1985,NA,"Bruce Beresford",1,"Historical","Middle Eastern","Male"
"King of Kings",1961,NA,"Nicholas Ray",1,"Historical","Middle Eastern","Male"
"Kinsey",2004,10200000,"Bill Condon",1,"Academic","White","Male"
"Klimt",2006,NA,"Raoul Ruiz",1,"Artist","White","Male"
"Knute Rockne All American",1940,NA,"Lloyd Bacon",1,"Athlete","White","Male"
"Korczak",1990,NA,"Andrzej Wajda",1,"Other","White","Male"
"Kundun",1997,5530000,"Martin Scorsese",1,"Activist","Asian","Male"
"La Bamba",1987,54200000,"Luis Valdez",1,"Musician","Hispanic","Male"
"La Vie en Rose",2007,10300000,"Olivier Dahan",1,"Singer","White","Female"
"Lady Jane",1986,278000,"Trevor Nunn",1,"Historical",NA,"Female"
"Lady Sings the Blues",1972,9600000,"Sidney J. Furie",1,"Musician","African","Female"
"Last Days",2005,455000,"Gus Van Sant",1,"Musician","White","Male"
"Lawrence of Arabia",1962,342000,"David Lean",1,"Military","White","Male"
"Lee Daniels' The Butler",2013,1.17e+08,"Lee Daniels",1,"Other","African","Male"
"Lenny",1974,NA,"Bob Fosse",1,"Comedian","White","Male"
"Lincoln",2012,1.82e+08,"Steven Spielberg",1,"World leader","White","Male"
"Lion of the Desert",1981,NA,"Moustapha Akkad",1,"Activist","Middle Eastern","Male"
"Lisztomania",1975,NA,"Ken Russell",1,"Musician","White","Male"
"Little Ashes",2008,480000,"Paul Morrison",1,"Artist","Multi racial","Male"
"Lone Survivor",2013,1.25e+08,"Peter Berg",1,"Military",NA,"Male"
"Lords of Dogtown",2005,1.1e+07,"Catherine Hardwicke",3,"Athlete",NA,"Male"
"Lords of Dogtown",2005,1.1e+07,"Catherine Hardwicke",3,"Athlete","Hispanic","Male"
"Lords of Dogtown",2005,1.1e+07,"Catherine Hardwicke",3,"Athlete",NA,"Male"
"Louis Cyr",2013,NA,"Daniel Roby",1,"Athlete","White","Male"
"Love & Mercy",2014,9260000,"Bill Pohlad",1,"Musician","White","Male"
"Love Is a Many-Splendored Thing",1955,NA,"Henry King",1,"Other","Eurasian","Female"
"Love Is the Devil: Study for a Portrait of Francis Bacon",1998,343000,"John Maybury",1,"Artist","White","Male"
"Love Me or Leave Me",1955,NA,"Charles Vidor",1,"Singer",NA,"Female"
"Lovelace",2013,355000,"Rob Epstein, Jeffrey Friedman",1,"Actress","White","Female"
"Low Down",2014,44500,"Jeff Preiss",1,"Musician","White","Male"
"Lucky Luciano",1973,NA,"Francesco Rosi",1,"Criminal","White","Male"
